"respondent","condition","stimuli","accuracy","latency"
2,"Whitebad","bm23",1,1038
2,"Whitebad","terrible",1,966
2,"Whitebad","wm6",1,1001
2,"Whitebad","love",1,1203
2,"Whitebad","bf23",1,781
2,"Whitebad","annoying",1,695
2,"Whitebad","bf56",1,885
2,"Whitebad","bf23",1,1251
2,"Whitebad","pleasure",1,571
2,"Whitebad","bm56",1,502
2,"Whitebad","horrible",1,523
2,"Whitebad","bm23",1,568
2,"Whitebad","peace",1,459
2,"Whitebad","wm1",1,522
2,"Whitebad","wicked",0,1384
2,"Whitebad","bf14",1,1001
2,"Whitebad","joy",1,506
2,"Whitebad","wf2",1,608
2,"Whitebad","good",0,2708
2,"Whitebad","wm1",1,1335
2,"Whitebad","joy",1,1332
2,"Whitebad","wf6",1,744
2,"Whitebad","wicked",1,1124
2,"Whitebad","wf3",1,1201
2,"Whitebad","pleasure",0,1299
2,"Whitebad","bf56",1,863
2,"Whitebad","wm4",1,999
2,"Whitebad","glory",1,2025
2,"Whitebad","wm6",1,1017
2,"Whitebad","terrible",1,1003
2,"Whitebad","bm14",1,684
2,"Whitebad","failure",1,1003
2,"Whitebad","bm14",1,860
2,"Whitebad","pain",1,716
2,"Whitebad","wf2",1,929
2,"Whitebad","peace",1,670
2,"Whitebad","wm6",1,1045
2,"Whitebad","good",0,1117
2,"Whitebad","wf2",1,1122
2,"Whitebad","annoying",1,1415
2,"Whitebad","bf23",1,1328
2,"Whitebad","evil",1,909
2,"Whitebad","wm4",1,1330
2,"Whitebad","laughter",1,871
2,"Whitebad","bf14",1,654
2,"Whitebad","hate",1,1046
3,"Whitegood","love",1,1028
3,"Whitegood","bf14",1,1372
3,"Whitegood","annoying",1,1119
3,"Whitegood","bm23",1,820
3,"Whitegood","pain",1,982
3,"Whitegood","wm4",1,856
3,"Whitegood","terrible",1,1248
3,"Whitegood","wf2",1,895
3,"Whitegood","good",1,958
3,"Whitegood","bm56",1,825
3,"Whitegood","hate",1,834
3,"Whitegood","bm14",1,843
3,"Whitegood","pleasure",1,675
3,"Whitegood","bf56",1,713
3,"Whitegood","peace",1,687
3,"Whitegood","wm6",1,733
3,"Whitegood","wm1",1,865
3,"Whitegood","glory",1,824
3,"Whitegood","wf6",1,537
3,"Whitegood","bf23",1,842
3,"Whitegood","laughter",1,666
3,"Whitegood","wf3",1,521
3,"Whitegood","joy",1,518
3,"Whitegood","wf3",1,475
3,"Whitegood","failure",1,690
3,"Whitegood","wm6",1,552
3,"Whitegood","bf56",1,643
3,"Whitegood","horrible",1,747
3,"Whitegood","wm1",1,527
3,"Whitegood","evil",1,524
3,"Whitegood","bm14",1,480
3,"Whitegood","peace",1,471
3,"Whitegood","wm4",1,534
3,"Whitegood","joy",1,538
3,"Whitegood","bm56",1,455
3,"Whitegood","wicked",1,494
3,"Whitegood","wf2",1,372
3,"Whitegood","wicked",0,794
3,"Whitegood","bf14",1,551
3,"Whitegood","pleasure",1,487
3,"Whitegood","bm23",1,525
3,"Whitegood","good",1,546
3,"Whitegood","wf6",1,541
3,"Whitegood","pain",1,489
3,"Whitegood","bf23",1,519
3,"Whitegood","failure",1,469
3,"Whitegood","wf6",1,499
3,"Whitegood","laughter",1,649
3,"Whitegood","wf3",1,520
3,"Whitegood","annoying",1,517
3,"Whitegood","bf23",1,474
3,"Whitegood","love",1,449
3,"Whitegood","bf14",1,473
3,"Whitegood","evil",1,584
3,"Whitegood","bm56",1,434
3,"Whitegood","hate",1,714
3,"Whitegood","wm1",1,820
3,"Whitegood","terrible",0,813
3,"Whitebad","joy",1,796
3,"Whitebad","wm4",1,1110
3,"Whitebad","failure",1,916
3,"Whitebad","bf23",1,617
3,"Whitebad","glory",0,1235
3,"Whitebad","bm56",1,545
3,"Whitebad","pleasure",1,1261
3,"Whitebad","wf3",1,561
3,"Whitebad","laughter",1,861
3,"Whitebad","bm23",0,1357
3,"Whitebad","love",1,894
3,"Whitebad","wf6",1,772
3,"Whitebad","hate",1,831
3,"Whitebad","wf2",1,1191
3,"Whitebad","pain",0,1145
3,"Whitebad","bf56",1,754
3,"Whitebad","good",1,998
3,"Whitebad","bf14",1,1031
3,"Whitebad","peace",0,1033
3,"Whitebad","bm14",1,831
