"respondent","condition","stimuli","accuracy","latency"
17,"Whitebad","bf14",1,895
17,"Whitebad","wicked",0,1999
17,"Whitebad","wf3",1,1078
17,"Whitebad","peace",1,734
17,"Whitebad","wm4",1,970
17,"Whitebad","glory",1,1325
17,"Whitebad","wm1",1,921
17,"Whitebad","failure",1,1446
17,"Whitebad","bm56",1,990
17,"Whitebad","pleasure",1,1649
17,"Whitebad","wf2",1,649
17,"Whitebad","bm14",1,1854
17,"Whitebad","terrible",1,1206
17,"Whitebad","bf56",1,608
17,"Whitebad","failure",1,1418
17,"Whitebad","bf23",1,675
17,"Whitebad","love",1,1338
17,"Whitebad","bm23",1,1238
17,"Whitebad","annoying",0,1658
17,"Whitebad","wf2",1,1062
17,"Whitebad","horrible",1,1182
17,"Whitebad","wm4",1,2400
17,"Whitebad","terrible",1,1034
17,"Whitebad","bf23",1,698
17,"Whitebad","good",1,712
17,"Whitebad","bm56",1,701
17,"Whitebad","hate",1,787
17,"Whitebad","wf3",1,1597
17,"Whitebad","wicked",0,4359
17,"Whitebad","bf56",0,2605
17,"Whitebad","pain",1,2244
18,"Whitegood","wicked",1,1109
18,"Whitegood","wf6",1,1258
18,"Whitegood","pain",1,938
18,"Whitegood","bm23",1,1358
18,"Whitegood","hate",1,746
18,"Whitegood","wm4",1,878
18,"Whitegood","annoying",1,853
18,"Whitegood","wm1",1,956
18,"Whitegood","peace",1,600
18,"Whitegood","wf3",1,610
18,"Whitegood","glory",1,540
18,"Whitegood","wm6",1,552
18,"Whitegood","joy",1,579
18,"Whitegood","wf2",1,557
18,"Whitegood","terrible",1,609
18,"Whitegood","bf56",1,514
18,"Whitegood","horrible",1,671
18,"Whitegood","bm56",1,518
18,"Whitegood","love",1,595
18,"Whitegood","bm14",1,637
18,"Whitegood","bf14",1,1373
18,"Whitegood","bf23",1,656
18,"Whitegood","laughter",1,624
18,"Whitegood","wf2",1,688
18,"Whitegood","failure",1,631
18,"Whitegood","bf56",1,783
18,"Whitegood","good",1,626
18,"Whitegood","bm14",1,626
18,"Whitegood","pleasure",1,675
18,"Whitegood","bf23",1,737
18,"Whitegood","evil",1,942
18,"Whitegood","wm6",1,729
18,"Whitegood","joy",1,575
18,"Whitegood","wm1",1,761
18,"Whitegood","terrible",1,589
18,"Whitegood","bm23",1,671
18,"Whitegood","pleasure",1,630
18,"Whitegood","bm56",1,750
18,"Whitegood","love",1,570
18,"Whitegood","bf14",1,557
18,"Whitegood","good",1,681
18,"Whitegood","bm56",1,743
18,"Whitegood","pain",1,547
18,"Whitegood","wf3",1,623
18,"Whitegood","laughter",1,680
18,"Whitegood","bf23",1,686
18,"Whitegood","glory",1,660
18,"Whitegood","bm14",1,491
18,"Whitegood","failure",0,1537
18,"Whitegood","wf6",1,909
18,"Whitegood","wicked",1,819
18,"Whitegood","wm4",1,956
18,"Whitegood","annoying",1,832
18,"Whitegood","wm1",0,939
18,"Whitegood","wf6",1,582
18,"Whitegood","horrible",1,752
18,"Whitegood","wm4",1,868
18,"Whitegood","hate",1,1219
18,"Whitebad","love",1,1241
18,"Whitebad","bm14",1,1369
18,"Whitebad","evil",0,1183
18,"Whitebad","wf6",1,1270
18,"Whitebad","peace",1,1445
18,"Whitebad","bf23",1,1717
18,"Whitebad","horrible",1,1018
18,"Whitebad","wm4",1,875
18,"Whitebad","wicked",1,1402
18,"Whitebad","bm56",1,828
18,"Whitebad","pain",1,2373
18,"Whitebad","bm23",1,1232
18,"Whitebad","failure",1,1185
18,"Whitebad","wm6",1,755
18,"Whitebad","pleasure",1,807
18,"Whitebad","wf2",1,880
18,"Whitebad","terrible",1,1127
18,"Whitebad","bf56",1,660
18,"Whitebad","good",1,1340
18,"Whitebad","wf3",1,864
18,"Whitebad","bf14",1,1137
18,"Whitebad","glory",1,1150
18,"Whitebad","bm56",1,570
18,"Whitebad","wm1",1,632
18,"Whitebad","joy",0,1271
18,"Whitebad","wm6",1,1446
18,"Whitebad","annoying",1,1519
18,"Whitebad","wf6",1,2004
18,"Whitebad","laughter",1,1574
18,"Whitebad","bf56",1,1601
18,"Whitebad","pleasure",1,659
18,"Whitebad","wf2",1,658
18,"Whitebad","hate",1,762
18,"Whitebad","bf23",1,757
18,"Whitebad","annoying",0,1315
18,"Whitebad","bf14",1,845
18,"Whitebad","joy",1,621
18,"Whitebad","wm4",1,662
18,"Whitebad","hate",1,758
18,"Whitebad","bm14",1,609
18,"Whitebad","glory",1,1635
18,"Whitebad","wm1",1,972
18,"Whitebad","failure",1,1671
18,"Whitebad","wf3",1,1310
18,"Whitebad","terrible",1,1172
18,"Whitebad","bm23",1,703
18,"Whitebad","wicked",0,1192
18,"Whitebad","wm1",0,1680
18,"Whitebad","laughter",1,1484
18,"Whitebad","wm6",0,1180
18,"Whitebad","pain",1,2852
18,"Whitebad","wm4",1,1237
18,"Whitebad","evil",0,1251
18,"Whitebad","bf14",1,1204
18,"Whitebad","peace",1,1606
18,"Whitebad","bf23",1,1143
18,"Whitebad","bf56",1,710
18,"Whitebad","love",1,555
19,"Whitegood","peace",1,509
19,"Whitegood","bm14",1,610
19,"Whitegood","pleasure",1,579
19,"Whitegood","wm1",1,646
19,"Whitegood","joy",1,398
19,"Whitegood","wf3",1,335
19,"Whitegood","love",1,460
19,"Whitegood","wf2",1,354
19,"Whitegood","good",1,478
19,"Whitegood","wf6",1,324
19,"Whitegood","terrible",1,545
19,"Whitegood","bm23",1,341
19,"Whitegood","evil",1,705
19,"Whitegood","bf14",1,358
19,"Whitegood","laughter",1,530
19,"Whitegood","wm4",1,502
19,"Whitegood","glory",1,580
19,"Whitegood","bf56",1,510
19,"Whitegood","pain",1,644
19,"Whitegood","bm56",1,435
19,"Whitegood","bf23",1,438
19,"Whitegood","wm6",1,484
19,"Whitegood","failure",1,514
19,"Whitegood","bm56",1,399
19,"Whitegood","glory",1,601
19,"Whitegood","bm23",1,474
19,"Whitegood","wicked",1,569
19,"Whitegood","wm1",1,492
19,"Whitegood","hate",1,778
19,"Whitegood","bf56",1,460
19,"Whitegood","peace",1,548
19,"Whitegood","wm4",1,591
19,"Whitegood","annoying",1,642
19,"Whitegood","wf2",1,441
19,"Whitegood","horrible",1,514
19,"Whitegood","wf6",1,494
19,"Whitegood","laughter",0,835
19,"Whitegood","bf23",1,964
19,"Whitegood","failure",1,599
19,"Whitegood","bf14",1,425
19,"Whitegood","pain",1,578
19,"Whitegood","wm6",1,516
19,"Whitegood","good",1,577
19,"Whitegood","bm14",1,523
19,"Whitegood","joy",1,536
19,"Whitegood","wf3",1,540
19,"Whitegood","pleasure",1,657
19,"Whitegood","bm23",1,456
19,"Whitegood","hate",1,480
19,"Whitegood","bf56",1,486
19,"Whitegood","wicked",0,933
19,"Whitegood","wf6",1,504
19,"Whitegood","horrible",1,677
19,"Whitegood","wm6",1,500
19,"Whitegood","terrible",1,513
19,"Whitegood","wf3",1,478
19,"Whitegood","bf14",1,435
19,"Whitegood","evil",1,443
19,"Whitebad","pleasure",1,959
19,"Whitebad","wf6",1,722
19,"Whitebad","laughter",1,567
19,"Whitebad","wf3",1,690
19,"Whitebad","pain",0,1046
19,"Whitebad","wm6",1,800
19,"Whitebad","horrible",0,1286
19,"Whitebad","bm14",1,799
19,"Whitebad","bm56",1,472
19,"Whitebad","love",1,784
19,"Whitebad","bf14",1,362
19,"Whitebad","glory",1,798
19,"Whitebad","wm4",1,447
19,"Whitebad","evil",0,866
19,"Whitebad","bm23",1,742
19,"Whitebad","joy",1,850
19,"Whitebad","wm1",1,593
19,"Whitebad","hate",0,859
19,"Whitebad","bf56",1,554
19,"Whitebad","bf23",1,515
19,"Whitebad","annoying",1,808
19,"Whitebad","wf2",1,577
19,"Whitebad","peace",0,1207
19,"Whitebad","bm23",1,646
19,"Whitebad","good",1,606
19,"Whitebad","bm56",1,375
19,"Whitebad","wicked",1,666
19,"Whitebad","bf14",1,529
19,"Whitebad","good",1,774
19,"Whitebad","bf56",1,361
19,"Whitebad","failure",1,741
19,"Whitebad","bm14",1,425
19,"Whitebad","glory",1,714
19,"Whitebad","wm4",1,607
19,"Whitebad","pleasure",1,520
19,"Whitebad","wm1",1,781
19,"Whitebad","terrible",0,914
19,"Whitebad","bf23",1,500
19,"Whitebad","evil",1,954
19,"Whitebad","bm23",1,581
19,"Whitebad","wm6",1,467
19,"Whitebad","laughter",1,938
19,"Whitebad","bf14",1,398
19,"Whitebad","horrible",1,688
19,"Whitebad","wf2",1,478
19,"Whitebad","love",1,909
19,"Whitebad","wf6",1,634
19,"Whitebad","failure",0,1024
19,"Whitebad","wf3",1,778
19,"Whitebad","hate",1,853
19,"Whitebad","wf2",1,541
19,"Whitebad","joy",1,1097
19,"Whitebad","wm4",1,590
19,"Whitebad","pain",1,761
19,"Whitebad","wf6",1,468
19,"Whitebad","wicked",0,1013
19,"Whitebad","bf56",1,615
19,"Whitebad","annoying",1,1032
20,"Whitegood","annoying",1,741
20,"Whitegood","bm23",1,609
20,"Whitegood","love",1,914
20,"Whitegood","bf14",1,823
20,"Whitegood","pain",1,1048
20,"Whitegood","wf2",1,688
20,"Whitegood","terrible",1,1278
20,"Whitegood","wm1",1,693
20,"Whitegood","joy",1,683
20,"Whitegood","bf56",1,553
20,"Whitegood","peace",1,637
20,"Whitegood","bf23",1,581
20,"Whitegood","glory",1,600
20,"Whitegood","wf3",1,865
20,"Whitegood","good",1,640
20,"Whitegood","bm14",1,632
20,"Whitegood","pleasure",1,593
20,"Whitegood","bm56",1,722
20,"Whitegood","laughter",1,671
20,"Whitegood","wm6",1,614
20,"Whitegood","bm23",1,576
20,"Whitegood","bf14",1,732
20,"Whitegood","evil",1,673
20,"Whitegood","bm14",1,656
20,"Whitegood","joy",1,631
20,"Whitegood","wm4",1,679
20,"Whitegood","glory",1,550
20,"Whitegood","wf6",1,514
20,"Whitegood","good",1,519
20,"Whitegood","wf3",1,436
20,"Whitegood","failure",1,573
20,"Whitegood","wf2",1,608
20,"Whitegood","pleasure",1,593
20,"Whitegood","wm4",1,635
20,"Whitegood","hate",1,779
20,"Whitegood","bm56",1,477
20,"Whitegood","wicked",1,724
20,"Whitegood","bf56",1,497
20,"Whitegood","horrible",1,479
20,"Whitegood","bf23",1,414
20,"Whitegood","terrible",1,599
20,"Whitegood","wm1",1,801
20,"Whitegood","hate",1,906
20,"Whitegood","wf6",1,776
20,"Whitegood","evil",1,699
20,"Whitegood","bm56",1,488
20,"Whitegood","laughter",1,567
20,"Whitegood","bm14",1,530
20,"Whitegood","annoying",1,687
20,"Whitegood","wm6",1,533
20,"Whitegood","pain",1,625
20,"Whitegood","wf3",1,641
20,"Whitegood","horrible",1,514
20,"Whitegood","wf2",1,518
20,"Whitegood","love",1,603
20,"Whitegood","wm4",1,589
20,"Whitegood","failure",1,679
20,"Whitegood","bf56",1,501
20,"Whitebad","love",1,2028
20,"Whitebad","bm14",0,2340
20,"Whitebad","laughter",1,2640
20,"Whitebad","wf3",0,1461
20,"Whitebad","joy",1,832
20,"Whitebad","wm4",1,1200
20,"Whitebad","annoying",1,1218
20,"Whitebad","wm1",1,651
20,"Whitebad","horrible",1,931
20,"Whitebad","wf2",1,615
20,"Whitebad","wf6",1,695
20,"Whitebad","good",1,1101
20,"Whitebad","bf14",1,803
20,"Whitebad","hate",1,669
20,"Whitebad","bf56",1,708
20,"Whitebad","glory",0,1640
20,"Whitebad","wm6",1,1577
20,"Whitebad","failure",1,676
20,"Whitebad","bf23",1,650
20,"Whitebad","wf3",1,686
20,"Whitebad","pleasure",1,2285
20,"Whitebad","wm1",1,580
20,"Whitebad","peace",1,847
20,"Whitebad","wm6",0,1303
20,"Whitebad","wf2",1,1105
20,"Whitebad","pleasure",1,2334
20,"Whitebad","bm56",1,643
20,"Whitebad","terrible",1,1035
20,"Whitebad","bm23",1,699
20,"Whitebad","pain",1,1505
20,"Whitebad","bm14",1,591
20,"Whitebad","wicked",1,641
20,"Whitebad","wf6",1,689
20,"Whitebad","glory",1,680
20,"Whitebad","bf56",1,558
20,"Whitebad","evil",1,666
20,"Whitebad","bm23",0,1044
20,"Whitebad","pain",1,1680
20,"Whitebad","wm4",1,758
20,"Whitebad","horrible",1,1450
20,"Whitebad","bm56",1,658
20,"Whitebad","good",1,1073
20,"Whitebad","wf6",1,680
20,"Whitebad","terrible",1,1391
20,"Whitebad","bf23",1,593
20,"Whitebad","failure",0,1121
20,"Whitebad","bf14",1,1968
20,"Whitebad","hate",1,619
20,"Whitebad","bm56",1,548
20,"Whitebad","peace",0,1653
20,"Whitebad","wm6",1,1639
20,"Whitebad","wicked",1,600
20,"Whitebad","wm1",1,617
20,"Whitebad","love",1,610
20,"Whitebad","bf23",1,675
20,"Whitebad","joy",1,738
20,"Whitebad","bf56",1,694
20,"Whitebad","evil",1,597
21,"Whitebad","laughter",1,1456
21,"Whitebad","wm6",1,848
21,"Whitebad","horrible",1,887
21,"Whitebad","bm23",1,710
21,"Whitebad","good",0,3319
21,"Whitebad","wm4",1,1448
21,"Whitebad","glory",0,4564
21,"Whitebad","bf23",1,1228
21,"Whitebad","bf14",1,781
21,"Whitebad","wicked",1,696
21,"Whitebad","wf3",1,909
21,"Whitebad","evil",1,835
21,"Whitebad","wf2",1,675
21,"Whitebad","pain",1,778
21,"Whitebad","bf56",1,741
21,"Whitebad","hate",1,705
21,"Whitebad","bm14",1,727
21,"Whitebad","peace",1,724
21,"Whitebad","bm56",1,585
21,"Whitebad","wf6",1,817
21,"Whitebad","joy",0,2491
21,"Whitebad","bf56",1,879
21,"Whitebad","pleasure",1,615
21,"Whitebad","bm23",1,607
21,"Whitebad","love",1,593
21,"Whitebad","bm56",1,490
21,"Whitebad","failure",1,705
21,"Whitebad","wm1",1,510
21,"Whitebad","annoying",1,724
21,"Whitebad","bm14",1,561
21,"Whitebad","terrible",0,1441
21,"Whitebad","bf23",0,1382
21,"Whitebad","hate",0,1699
21,"Whitebad","bf14",1,1763
21,"Whitebad","peace",1,671
21,"Whitebad","wm1",1,622
21,"Whitebad","glory",0,1427
21,"Whitebad","wm6",1,951
21,"Whitebad","horrible",1,1187
21,"Whitebad","wf3",1,509
21,"Whitebad","failure",1,507
21,"Whitebad","bm56",0,1613
21,"Whitebad","love",1,1505
21,"Whitebad","wf2",1,615
21,"Whitebad","joy",0,1084
21,"Whitebad","wm4",1,1414
21,"Whitebad","pleasure",1,799
21,"Whitebad","wf6",1,865
21,"Whitebad","wicked",0,1608
21,"Whitebad","wm4",1,601
21,"Whitebad","evil",1,1442
21,"Whitebad","bf23",1,554
21,"Whitebad","laughter",1,446
21,"Whitebad","wm6",1,573
21,"Whitebad","bf56",1,562
21,"Whitebad","terrible",1,606
21,"Whitebad","wf2",1,663
21,"Whitebad","pain",1,615
21,"Whitegood","laughter",1,841
21,"Whitegood","wm4",1,512
21,"Whitegood","glory",1,518
21,"Whitegood","bf56",1,579
21,"Whitegood","failure",1,678
21,"Whitegood","wf2",1,524
21,"Whitegood","love",1,657
21,"Whitegood","wm6",1,600
21,"Whitegood","pleasure",1,407
21,"Whitegood","wm1",1,424
21,"Whitegood","terrible",1,609
21,"Whitegood","wf6",1,467
21,"Whitegood","horrible",1,698
21,"Whitegood","wf3",1,575
21,"Whitegood","hate",1,618
21,"Whitegood","bf23",1,563
21,"Whitegood","wicked",1,671
21,"Whitegood","bf14",1,509
21,"Whitegood","joy",1,1035
21,"Whitegood","wf3",1,451
21,"Whitegood","bm56",1,676
21,"Whitegood","good",1,691
21,"Whitegood","bm23",1,585
21,"Whitegood","evil",1,1499
21,"Whitegood","wm4",1,633
21,"Whitegood","wm1",1,550
21,"Whitegood","pain",1,521
21,"Whitegood","bm14",1,549
21,"Whitegood","peace",0,1519
21,"Whitegood","bf56",1,741
21,"Whitegood","annoying",1,552
21,"Whitegood","wm6",1,611
21,"Whitegood","glory",1,597
21,"Whitegood","bf14",1,559
21,"Whitegood","annoying",1,578
21,"Whitegood","bm23",1,528
21,"Whitegood","terrible",1,550
21,"Whitegood","wf6",1,569
21,"Whitegood","love",1,892
21,"Whitegood","wf2",1,793
21,"Whitegood","peace",1,612
21,"Whitegood","wf6",1,421
21,"Whitegood","good",1,510
21,"Whitegood","wm1",1,451
21,"Whitegood","horrible",1,690
21,"Whitegood","wm4",1,544
21,"Whitegood","pain",1,789
21,"Whitegood","bm14",1,599
21,"Whitegood","laughter",1,745
21,"Whitegood","bm56",1,516
21,"Whitegood","hate",0,1428
21,"Whitegood","bf23",1,508
21,"Whitegood","wicked",1,706
21,"Whitegood","bf14",1,464
21,"Whitegood","failure",1,485
21,"Whitegood","bf56",1,475
21,"Whitegood","bm56",1,449
21,"Whitegood","joy",1,1177
22,"Whitebad","hate",1,1223
22,"Whitebad","bm56",1,784
22,"Whitebad","wf6",1,792
22,"Whitebad","evil",1,2050
22,"Whitebad","bf56",1,946
22,"Whitebad","wicked",1,786
22,"Whitebad","wm4",1,1116
22,"Whitebad","peace",1,890
22,"Whitebad","bf23",0,1239
22,"Whitebad","laughter",1,1327
22,"Whitebad","bm23",0,1373
22,"Whitebad","annoying",1,1461
22,"Whitebad","wm6",1,1244
22,"Whitebad","pleasure",1,1309
22,"Whitebad","wf2",1,1210
22,"Whitebad","pain",1,1108
22,"Whitebad","bf14",1,585
22,"Whitebad","glory",1,707
22,"Whitebad","wf3",0,1023
22,"Whitebad","bm14",1,1204
22,"Whitebad","good",1,766
22,"Whitebad","wm1",1,616
22,"Whitebad","love",1,666
22,"Whitebad","wm6",1,625
22,"Whitebad","joy",1,634
22,"Whitebad","bm56",1,674
22,"Whitebad","failure",1,681
22,"Whitebad","bf56",1,599
22,"Whitebad","horrible",0,1040
22,"Whitebad","wf6",1,1736
22,"Whitebad","terrible",1,1549
22,"Whitebad","bm14",1,641
22,"Whitebad","wicked",0,1052
22,"Whitebad","bf14",1,672
22,"Whitebad","pain",1,839
22,"Whitebad","wf2",1,847
22,"Whitebad","good",1,543
22,"Whitebad","wm1",1,947
22,"Whitebad","laughter",1,1135
22,"Whitebad","wf3",1,652
22,"Whitebad","annoying",1,2164
22,"Whitebad","wm4",1,999
22,"Whitebad","glory",1,753
22,"Whitebad","wm1",1,700
22,"Whitebad","love",1,506
22,"Whitebad","bm23",1,584
22,"Whitebad","joy",1,610
22,"Whitebad","bf23",1,603
22,"Whitebad","horrible",1,612
22,"Whitebad","bm23",1,531
22,"Whitebad","terrible",1,527
22,"Whitebad","bm56",1,476
22,"Whitebad","wf6",1,879
22,"Whitebad","evil",0,1987
22,"Whitebad","bm14",1,848
22,"Whitebad","pleasure",1,728
22,"Whitebad","wm4",1,524
22,"Whitebad","hate",1,1297
22,"Whitegood","joy",1,747
22,"Whitegood","bf23",1,871
22,"Whitegood","love",1,667
22,"Whitegood","bf14",1,722
22,"Whitegood","pain",1,972
22,"Whitegood","wm4",1,703
22,"Whitegood","hate",1,639
22,"Whitegood","bm14",1,719
22,"Whitegood","pleasure",1,604
22,"Whitegood","bm23",1,758
22,"Whitegood","horrible",1,646
22,"Whitegood","wf3",1,638
22,"Whitegood","terrible",1,686
22,"Whitegood","wm1",1,844
22,"Whitegood","glory",1,797
22,"Whitegood","wf2",1,702
22,"Whitegood","failure",0,1298
22,"Whitegood","wm6",1,753
22,"Whitegood","wicked",1,805
22,"Whitegood","wf6",1,806
22,"Whitegood","bm56",1,631
22,"Whitegood","annoying",1,759
22,"Whitegood","bf56",1,560
22,"Whitegood","wf6",1,664
22,"Whitegood","evil",0,901
22,"Whitegood","wf3",1,1109
22,"Whitegood","evil",1,1171
22,"Whitegood","bm14",1,565
22,"Whitegood","peace",1,601
22,"Whitegood","wm6",0,1242
22,"Whitegood","hate",1,1337
22,"Whitegood","wm4",1,598
22,"Whitegood","good",1,1287
22,"Whitegood","bm56",1,694
22,"Whitegood","laughter",1,637
22,"Whitegood","bf14",1,653
22,"Whitegood","failure",1,757
22,"Whitegood","wm1",1,783
22,"Whitegood","pain",1,665
22,"Whitegood","bm23",1,784
22,"Whitegood","peace",1,643
22,"Whitegood","wf2",1,722
22,"Whitegood","annoying",1,623
22,"Whitegood","bf23",1,888
22,"Whitegood","terrible",1,830
22,"Whitegood","bf56",1,535
22,"Whitegood","glory",0,837
22,"Whitegood","bm14",1,666
22,"Whitegood","good",1,749
22,"Whitegood","bm23",1,576
22,"Whitegood","joy",1,563
22,"Whitegood","wm6",1,606
22,"Whitegood","bf56",1,522
22,"Whitegood","horrible",1,1031
22,"Whitegood","wm4",1,567
22,"Whitegood","laughter",0,763
22,"Whitegood","wf3",1,1549
22,"Whitegood","love",1,657
23,"Whitebad","horrible",1,1420
23,"Whitebad","bm14",1,1141
23,"Whitebad","evil",1,593
23,"Whitebad","bf23",1,714
23,"Whitebad","annoying",0,1513
23,"Whitebad","bm56",1,1340
23,"Whitebad","laughter",1,1777
23,"Whitebad","wm1",1,2011
23,"Whitebad","wicked",1,1117
23,"Whitebad","wf3",1,906
23,"Whitebad","glory",0,1557
23,"Whitebad","wm6",1,811
23,"Whitebad","good",1,933
23,"Whitebad","bm23",1,1033
23,"Whitebad","love",1,874
23,"Whitebad","bf14",1,929
23,"Whitebad","failure",0,1691
23,"Whitebad","wf2",0,1243
23,"Whitebad","pain",1,2459
23,"Whitebad","wf6",1,1082
23,"Whitebad","wm4",1,1783
23,"Whitebad","peace",1,794
23,"Whitebad","bf56",1,747
23,"Whitebad","terrible",1,1583
23,"Whitebad","bm23",1,674
23,"Whitebad","joy",1,713
23,"Whitebad","wm1",1,814
23,"Whitebad","hate",0,1186
23,"Whitebad","bf23",1,649
23,"Whitebad","wm4",1,640
23,"Whitebad","pleasure",1,705
23,"Whitebad","bm56",1,614
23,"Whitebad","good",1,687
23,"Whitebad","wm6",1,606
23,"Whitebad","glory",1,783
23,"Whitebad","wf6",1,777
23,"Whitebad","evil",1,1269
23,"Whitebad","bm14",1,620
23,"Whitebad","horrible",1,1029
23,"Whitebad","wf2",1,965
23,"Whitebad","hate",1,560
23,"Whitebad","wf3",1,579
23,"Whitebad","annoying",1,870
23,"Whitebad","wf3",1,1177
23,"Whitebad","joy",1,1356
23,"Whitebad","bf14",1,568
23,"Whitebad","pain",1,955
23,"Whitebad","bf56",1,654
23,"Whitebad","peace",1,566
23,"Whitebad","wf2",1,529
23,"Whitebad","terrible",0,1462
23,"Whitebad","bf14",1,724
23,"Whitebad","bm23",1,581
23,"Whitebad","laughter",0,1139
23,"Whitebad","wm6",1,1234
23,"Whitebad","pleasure",1,1155
23,"Whitebad","bm56",1,759
23,"Whitebad","wicked",1,930
23,"Whitegood","laughter",1,761
23,"Whitegood","wf6",1,596
23,"Whitegood","failure",1,1335
23,"Whitegood","wf3",1,587
23,"Whitegood","horrible",1,765
23,"Whitegood","wf2",1,792
23,"Whitegood","bf14",1,635
23,"Whitegood","wicked",1,531
23,"Whitegood","wm4",1,551
23,"Whitegood","peace",1,643
23,"Whitegood","wm6",1,1330
23,"Whitegood","annoying",1,591
23,"Whitegood","bm23",1,537
23,"Whitegood","glory",1,694
23,"Whitegood","bf56",1,646
23,"Whitegood","hate",1,551
23,"Whitegood","bm14",1,930
23,"Whitegood","terrible",1,519
23,"Whitegood","wm1",1,644
23,"Whitegood","wm4",1,549
23,"Whitegood","pleasure",1,553
23,"Whitegood","bm56",1,661
23,"Whitegood","pain",1,533
23,"Whitegood","wm6",1,489
23,"Whitegood","evil",1,543
23,"Whitegood","wm1",1,531
23,"Whitegood","love",1,487
23,"Whitegood","bf23",1,501
23,"Whitegood","failure",1,491
23,"Whitegood","bf56",1,576
23,"Whitegood","annoying",1,612
23,"Whitegood","bf14",1,557
23,"Whitegood","good",1,505
23,"Whitegood","wf2",1,534
23,"Whitegood","joy",1,531
23,"Whitegood","bm14",1,511
23,"Whitegood","laughter",1,740
23,"Whitegood","wf6",1,617
23,"Whitegood","peace",1,530
23,"Whitegood","bf23",1,597
23,"Whitegood","wicked",1,471
23,"Whitegood","wf3",1,494
23,"Whitegood","pain",1,557
23,"Whitegood","bm56",0,1258
23,"Whitegood","wm6",1,638
23,"Whitegood","terrible",1,591
23,"Whitegood","wm4",1,737
23,"Whitegood","glory",1,677
23,"Whitegood","bm23",1,507
23,"Whitegood","evil",1,497
23,"Whitegood","bm56",1,518
23,"Whitegood","pleasure",1,883
23,"Whitegood","wm1",1,570
23,"Whitegood","good",1,509
23,"Whitegood","bf23",1,505
23,"Whitegood","horrible",1,447
23,"Whitegood","bf14",1,510
23,"Whitegood","love",1,468
24,"Whitebad","pleasure",1,941
24,"Whitebad","wf2",1,1000
24,"Whitebad","terrible",1,522
24,"Whitebad","bf23",1,583
24,"Whitebad","evil",1,785
24,"Whitebad","wm1",1,1284
24,"Whitebad","pain",1,1186
24,"Whitebad","bf56",1,733
24,"Whitebad","horrible",1,953
24,"Whitebad","bm23",1,637
24,"Whitebad","peace",1,461
24,"Whitebad","bf14",1,555
24,"Whitebad","wm6",1,622
24,"Whitebad","hate",1,487
24,"Whitebad","bm56",1,629
24,"Whitebad","love",1,470
24,"Whitebad","bm14",1,533
24,"Whitebad","joy",1,745
24,"Whitebad","wm4",1,669
24,"Whitebad","wf3",1,691
24,"Whitebad","annoying",1,593
24,"Whitebad","bm23",1,547
24,"Whitebad","wicked",0,920
24,"Whitebad","wf6",1,699
24,"Whitebad","failure",1,649
24,"Whitebad","bm14",1,521
24,"Whitebad","wicked",1,654
24,"Whitebad","bm56",0,1014
24,"Whitebad","annoying",0,1444
24,"Whitebad","wf3",1,765
24,"Whitebad","glory",1,752
24,"Whitebad","bf14",1,620
24,"Whitebad","laughter",1,893
24,"Whitebad","wf6",1,563
24,"Whitebad","terrible",0,1155
24,"Whitebad","bf23",1,657
24,"Whitebad","good",1,1208
24,"Whitebad","wm6",1,569
24,"Whitebad","joy",0,1517
24,"Whitebad","wf2",1,792
24,"Whitebad","evil",1,907
24,"Whitebad","bf56",1,729
24,"Whitebad","wm4",1,1198
24,"Whitebad","horrible",1,473
24,"Whitebad","wm1",1,535
24,"Whitebad","love",1,532
24,"Whitebad","bf56",1,568
24,"Whitebad","pleasure",1,843
24,"Whitebad","wm4",1,602
24,"Whitebad","peace",1,996
24,"Whitebad","bm56",1,478
24,"Whitebad","laughter",1,1685
24,"Whitebad","wf2",1,660
24,"Whitebad","glory",0,1496
24,"Whitebad","wf6",1,808
24,"Whitebad","pain",1,1162
24,"Whitebad","bf14",1,1085
24,"Whitebad","hate",0,1101
24,"Whitegood","wm4",1,486
24,"Whitegood","joy",1,541
24,"Whitegood","bm56",1,641
24,"Whitegood","peace",1,641
24,"Whitegood","bf56",1,961
24,"Whitegood","pleasure",1,1013
24,"Whitegood","bm14",1,766
24,"Whitegood","laughter",1,913
24,"Whitegood","bf23",1,686
24,"Whitegood","terrible",1,724
24,"Whitegood","wm6",1,649
24,"Whitegood","evil",0,988
24,"Whitegood","bm23",1,602
24,"Whitegood","horrible",1,676
24,"Whitegood","wf6",1,650
24,"Whitegood","failure",1,714
24,"Whitegood","wf3",1,719
24,"Whitegood","hate",1,572
24,"Whitegood","wf2",1,655
24,"Whitegood","bf14",1,619
24,"Whitegood","glory",1,628
24,"Whitegood","bm14",1,620
24,"Whitegood","love",1,1237
24,"Whitegood","bm23",1,678
24,"Whitegood","pain",1,716
24,"Whitegood","wm1",1,657
24,"Whitegood","annoying",1,913
24,"Whitegood","wf2",1,582
24,"Whitegood","wicked",1,1120
24,"Whitegood","wm4",1,821
24,"Whitegood","good",1,814
24,"Whitegood","wf3",1,711
24,"Whitegood","wicked",1,669
24,"Whitegood","bf56",1,524
24,"Whitegood","pleasure",1,1009
24,"Whitegood","wm6",1,546
24,"Whitegood","laughter",1,958
24,"Whitegood","wm1",1,617
24,"Whitegood","glory",1,658
24,"Whitegood","bf14",1,681
24,"Whitegood","hate",1,631
